level,case,position,prompt_tokens,state_characters,expected,choice,correct,execution_status,seconds,input_sha256,trial,latency_scope
8k,arithmetic_refuted,end,8168,11226,refuted,insufficient,False,PASS,1.5294609449920245,4cee06471d0f622d4a964e9148d3d038ea2552c4c8a18b59b090bdfebd359ab8,curve,initial isolated process
8k,draft_insufficient,begin,8172,11235,insufficient,insufficient,True,PASS,1.5408260639815126,e4caaf7923af10870af9e2e45d507511f6088fee1a6e2af375275e197135a94e,curve,initial isolated process
8k,privacy_supported,end,8157,11225,supported,supported,True,PASS,1.533809726999607,2f71f99b2ee2317630da24d4d5a2113bf28f3294d251dd7822449202443e6d0c,curve,initial isolated process
8k,revision_refuted,begin,8170,11239,refuted,refuted,True,PASS,1.5323425410024356,45f9b89b543556a54de20150457bc4947fcbc3ff786a48121edc45199606e3ec,curve,initial isolated process
8k,approver_insufficient,middle,8191,11270,insufficient,insufficient,True,PASS,1.5481232360180002,67f1644f955384994899d90dd8589b2c1f051117a8b273431fbebc53f184165c,curve,initial isolated process
32k,date_supported,begin,32759,45585,supported,insufficient,False,PASS,7.939567419001833,e5888f5256bc650ff433ad79cb5e59b9f91518e946a9a0dae2fb0ae1082f4493,curve,initial isolated process
32k,delivery_refuted,middle,32763,45596,refuted,refuted,True,PASS,7.9266581980045885,489638ff58f60c7900748b4d1c9d4f80db88422c43b3acac2d9e18ae8a2b5786,curve,initial isolated process
32k,budget_insufficient,end,32750,45579,insufficient,insufficient,True,PASS,7.930516072025057,7b58c803af57ac0bd507bb94a8d0872e6ab1376b3c590a9b914f46fbdde5af35,curve,initial isolated process
32k,rule_supported,middle,32732,45563,supported,supported,True,PASS,7.918981858994812,0ae35d4902166bb279b25f219600ac452abada09a1a7e769490c6e308d82d0c3,curve,initial isolated process
32k,arithmetic_refuted,end,32767,45594,refuted,insufficient,False,PASS,7.931652019004105,47883a9f599549fe85925caa89b7214019f6316af31acdeb7900021527c81c21,curve,initial isolated process
32k,draft_insufficient,begin,32733,45548,insufficient,insufficient,True,PASS,7.925999137019971,aa68f7daeedff1340e20985ef1e6d62f92aae2fa89beda44df70f13b9c3749e3,curve,initial isolated process
32k,privacy_supported,end,32756,45593,supported,supported,True,PASS,7.9220456419861875,e3a9bd1f07e912e557009d54159995ee56ea820ec5100af1c153a129489273ca,curve,initial isolated process
32k,revision_refuted,begin,32731,45552,refuted,refuted,True,PASS,7.93092145799892,cec186f9220e47a75309caf6b722de589973f5ac10cc4d13a8f478a36abc51e3,curve,initial isolated process
32k,approver_insufficient,middle,32748,45581,insufficient,insufficient,True,PASS,7.92152934501064,8c14c115d691f17dad2415c9603e3087cf9d22c4010e0904557893bdd2fc11a3,curve,initial isolated process
64k,date_supported,begin,65510,91264,supported,insufficient,False,PASS,20.708820156985894,6975d4fd05d750e5b2c06d8ec881700640c7f573fdfe001808c9902c1470aeb8,curve,initial isolated process
64k,delivery_refuted,middle,65514,91275,refuted,refuted,True,PASS,20.731280086009065,494b46f72ec90b9de1fbcd65c1729cbb2393c40cefb0ec01d86b9281055d8097,curve,initial isolated process
64k,budget_insufficient,end,65501,91258,insufficient,insufficient,True,PASS,20.71098778999294,06c5c83d974a889de8e085299c87b9b9d9168bc00f569fbb522da56b678a7034,curve,initial isolated process
64k,rule_supported,middle,65521,91297,supported,supported,True,PASS,20.720066650013905,e6cf92d4473312f013239abf8f7aa44e38ef2a94c541ca922c0c8f76214fd652,curve,initial isolated process
64k,arithmetic_refuted,end,65518,91273,refuted,insufficient,False,PASS,20.71724558499409,a249830c0386f66dd59387f75cc3dac60785777d74fd622be33934b86c2fd5b3,curve,initial isolated process
64k,draft_insufficient,begin,65522,91282,insufficient,insufficient,True,PASS,20.716969430999598,715debb5bd9fed3b17e3177b625f45de409865c9778fbf46bf26af9bae6ee7cf,curve,initial isolated process
64k,privacy_supported,end,65507,91272,supported,supported,True,PASS,20.727365833008662,db199dc33dc33562de02a78c82c149bf275923aa1a956143730d5ee91539db50,curve,initial isolated process
64k,revision_refuted,begin,65520,91286,refuted,refuted,True,PASS,20.72948638899834,e28b6bbe465e67431a6045dc40c48114ffd232ce72a6a405df39903d7d81eb88,curve,initial isolated process
64k,approver_insufficient,middle,65499,91260,insufficient,insufficient,True,PASS,20.710757905995706,451834cee94ed05a3b1f60e6d66fcba63e4f2eb8f42453f53823fd55ca5f3ddb,curve,initial isolated process
128k,date_supported,begin,131058,182712,supported,insufficient,False,PASS,60.835980392002966,53613195371a070439c9d097424b729ce434fa204830adf59305d821484ef64f,curve,initial isolated process
128k,delivery_refuted,middle,131062,182723,refuted,refuted,True,PASS,60.80144645299879,dc84fe13645699d9dab96113d3ddae50690826207f4aa354ddd4149516fae125,curve,initial isolated process
128k,budget_insufficient,end,131049,182706,insufficient,insufficient,True,PASS,60.77255883900216,61701eb75a39de81f4fa053e0438bd02d0f939051648572766bb13a11358fd50,curve,initial isolated process
128k,rule_supported,middle,131069,182745,supported,supported,True,PASS,60.77343446901068,10ff9747d9d968fb79a534e9b045e3bc125f22dfd22244e2b81212b2f12c001f,curve,initial isolated process
128k,arithmetic_refuted,end,131066,182721,refuted,insufficient,False,PASS,60.78859651501989,34f1dcda18ffe6d585ae232850c21b7d99cf5acb79350debcdefa58d2ea08252,curve,initial isolated process
128k,draft_insufficient,begin,131070,182730,insufficient,insufficient,True,PASS,60.79544248600723,532c386ceea8798beda6cedb43bd37b6f401bb9b3f725e07e0a5880a07aebbab,curve,initial isolated process
128k,privacy_supported,end,131055,182720,supported,supported,True,PASS,60.77752432500711,32c28b347eff292d6f52cfb7486a3b491aedff2c58152aed742145a6dc98350f,curve,initial isolated process
128k,revision_refuted,begin,131068,182734,refuted,refuted,True,PASS,60.807122180995066,9f2fa74988ac36742c1a7057ede69db72613d7dad1cac45ed6ffcc4a1766c7b7,curve,initial isolated process
128k,approver_insufficient,middle,131047,182708,insufficient,insufficient,True,PASS,60.80234389801626,807990e330c52591ef72b68a521b06e80e5b8a32b5f9208146a7adf4e787e56b,curve,initial isolated process
256k,date_supported,begin,262137,365781,supported,insufficient,False,PASS,199.18055928501417,75b60551c727257a932997f273295619d0bcd8d7960b79e5a96487b3b9ef404e,curve-resume,resumed/concurrency-authorized reference only
256k,delivery_refuted,middle,262141,365792,refuted,refuted,True,PASS,199.25571820599725,c7af6ae00f29a94dd4f7bf768cbd7e9e359524036d6168e178bdbb7e0b9f2f46,curve-resume,resumed/concurrency-authorized reference only
256k,budget_insufficient,end,262128,365775,insufficient,insufficient,True,PASS,327.8364679639926,e9e833ef90ccfe6cd3ffd8e1e29e46d8cfc332d0f7e809585affead9c5d3293a,curve-resume,resumed/concurrency-authorized reference only
256k,rule_supported,middle,262107,365757,supported,supported,True,PASS,220.68878367100842,17466344770391d1d89b4af2415ccdade3142cfc78b355aff93dc043c3dac03a,curve-resume,resumed/concurrency-authorized reference only
256k,arithmetic_refuted,end,262104,365733,refuted,insufficient,False,PASS,199.20042241798365,cd15ffe9acf37986b72337679234113c823dc0527532299104078141c20d51f4,curve-resume,resumed/concurrency-authorized reference only
256k,draft_insufficient,begin,262108,365742,insufficient,insufficient,True,PASS,199.1474620330264,5e7dee9c1d2fb6d09832f40672bd2decac597604d03481a7f34d0715455781c1,curve-resume,resumed/concurrency-authorized reference only
256k,privacy_supported,end,262134,365789,supported,supported,True,PASS,199.1743123900087,98b50438ff6f306cdaa5904c5b6de19b7732bb224f40aba954c394b6112bea9a,curve-resume,resumed/concurrency-authorized reference only
256k,revision_refuted,begin,262106,365746,refuted,refuted,True,PASS,199.21149544397485,ccb24ee896129d603e986932b91320b0518b2cc1a5e8804115ac5f3839329e2c,curve-resume,resumed/concurrency-authorized reference only
256k,approver_insufficient,middle,262126,365777,insufficient,insufficient,True,PASS,199.2064348080021,e86667684dc679ca123dfff58de1d71845d43faf735c14fff12ff489f3da5735,curve-resume,resumed/concurrency-authorized reference only
