model,group,case,expected,predicted,correct,status,truncated,brier,mae,p_true,score,strict_score_range_violation,error
gemma,choice8,choice8-shipping-1,shipping,shipping,True,PASS,False,,,,,False,
gemma,choice8,choice8-address-0,address,address,True,PASS,False,,,,,False,
gemma,choice8,choice8-address-1,address,address,True,PASS,False,,,,,False,
gemma,choice8,choice8-privacy-0,privacy,privacy,True,PASS,False,,,,,False,
gemma,choice8,choice8-privacy-1,privacy,privacy,True,PASS,False,,,,,False,
gemma,noul,bool-00,True,True,True,PASS,False,0.0,,1.0,,False,
gemma,noul,bool-01,False,False,True,PASS,False,9.515040287858893e-20,,3.084645893430702e-10,,False,
gemma,noul,bool-02,True,True,True,PASS,False,7.517500336547777e-12,,0.9999972581939645,,False,
gemma,noul,bool-03,False,False,True,PASS,False,3.86817056825595e-18,,1.9667665261174114e-09,,False,
gemma,noul,bool-04,True,True,True,PASS,False,0.0,,1.0,,False,
gemma,noul,bool-05,False,False,True,PASS,False,1.743521073392113e-18,,1.3204245807285294e-09,,False,
gemma,noul,bool-06,True,True,True,PASS,False,0.0,,1.0,,False,
gemma,noul,bool-07,False,False,True,PASS,False,1.4208799956432278e-15,,3.769456188421916e-08,,False,
gemma,noul,bool-08,True,True,True,PASS,False,0.0,,1.0,,False,
gemma,noul,bool-09,False,False,True,PASS,False,5.5093496255006793e-17,,7.422499326709757e-09,,False,
gemma,noul,bool-10,True,True,True,PASS,False,0.0,,1.0,,False,
gemma,noul,bool-11,False,False,True,PASS,False,4.111452592548035e-15,,6.412060973312742e-08,,False,
gemma,noul,bool-12,True,True,True,PASS,False,0.0,,1.0,,False,
gemma,noul,bool-13,False,False,True,PASS,False,3.38607221118151e-20,,1.840128313781816e-10,,False,
gemma,noul,bool-14,True,True,True,PASS,False,0.0,,1.0,,False,
gemma,noul,bool-15,False,False,True,PASS,False,1.3792386911927585e-18,,1.1744099331974158e-09,,False,
gemma,noul,bool-16,True,False,False,PASS,False,0.9997532259809241,,0.0001233946226544279,,False,
gemma,noul,bool-17,False,True,False,PASS,False,1.0,,1.0,,False,
gemma,noul,bool-18,True,True,True,PASS,False,0.0,,1.0,,False,
gemma,noul,bool-19,False,False,True,PASS,False,3.012534267611495e-18,,1.7356653674056803e-09,,False,
gemma,score,score-checklist-0,0,0,True,PASS,False,,7.021984353959817e-06,,7.021984353959817e-06,False,
gemma,score,score-checklist-1,1,1,True,PASS,False,,0.7071335730431665,,1.7071335730431665,False,
gemma,score,score-checklist-2,2,2,True,PASS,False,,0.00011991401411926006,,2.0001199140141193,False,
gemma,score,score-checklist-3,3,2,False,PASS,False,,1.0002360662609457,,1.9997639337390543,False,
gemma,score,score-checklist-4,4,4,True,PASS,False,,1.1512942927893732e-05,,3.999988487057072,False,
gemma,score,score-delay-0,0,0,True,PASS,False,,2.026786252299787e-06,,2.026786252299787e-06,False,
gemma,score,score-delay-1,1,1,True,PASS,False,,1.1382645410673575e-06,,1.000001138264541,False,
gemma,score,score-delay-2,2,2,True,PASS,False,,1.532405697890482e-07,,1.9999998467594302,False,
gemma,score,score-delay-3,3,3,True,PASS,False,,0.3207978095398558,,2.679202190460144,False,
gemma,score,score-delay-4,4,4,True,PASS,False,,7.046435770430293e-06,,3.9999929535642296,False,
gemma,score,score-satisfaction-0,0,0,True,PASS,False,,1.0896812305333824e-08,,1.0896812305333824e-08,False,
gemma,score,score-satisfaction-1,1,0,False,PASS,False,,0.6081910152832396,,0.3918089847167604,False,
gemma,score,score-satisfaction-2,2,2,True,PASS,False,,1.5393323504753198e-08,,2.0000000153933235,False,
gemma,score,score-satisfaction-3,3,3,True,PASS,False,,8.992004696395384e-08,,2.999999910079953,False,
gemma,score,score-satisfaction-4,4,4,True,PASS,False,,3.652189661806915e-11,,4.000000000036522,True,
gemma,score,score-impact-0,0,0,True,PASS,False,,1.4869069322743997e-08,,1.4869069322743997e-08,False,
gemma,score,score-impact-1,1,1,True,PASS,False,,0.5815984171576944,,1.5815984171576944,False,
gemma,score,score-impact-2,2,1,False,PASS,False,,0.04459650445305652,,1.9554034955469435,False,
gemma,score,score-impact-3,3,2,False,PASS,False,,0.929572187368553,,2.070427812631447,False,
gemma,score,score-impact-4,4,4,True,PASS,False,,0.04899649750557833,,3.9510035024944217,False,
qwen,choice2,choice2-00,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-01,false,false,True,PASS,False,,,,,False,
qwen,choice2,choice2-02,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-03,false,false,True,PASS,False,,,,,False,
qwen,choice2,choice2-04,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-05,false,false,True,PASS,False,,,,,False,
qwen,choice2,choice2-06,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-07,false,true,False,PASS,False,,,,,False,
qwen,choice2,choice2-08,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-09,false,false,True,PASS,False,,,,,False,
qwen,choice2,choice2-10,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-11,false,false,True,PASS,False,,,,,False,
qwen,choice2,choice2-12,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-13,false,false,True,PASS,False,,,,,False,
qwen,choice2,choice2-14,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-15,false,false,True,PASS,False,,,,,False,
qwen,choice2,choice2-16,true,false,False,PASS,False,,,,,False,
qwen,choice2,choice2-17,false,false,True,PASS,False,,,,,False,
qwen,choice2,choice2-18,true,true,True,PASS,False,,,,,False,
qwen,choice2,choice2-19,false,false,True,PASS,False,,,,,False,
qwen,choice4,choice4-billing-0,billing,billing,True,PASS,False,,,,,False,
qwen,choice4,choice4-billing-1,billing,billing,True,PASS,False,,,,,False,
qwen,choice4,choice4-billing-2,billing,billing,True,PASS,False,,,,,False,
qwen,choice4,choice4-billing-3,billing,billing,True,PASS,False,,,,,False,
qwen,choice4,choice4-billing-4,billing,billing,True,PASS,False,,,,,False,
qwen,choice4,choice4-technical-0,technical,technical,True,PASS,False,,,,,False,
qwen,choice4,choice4-technical-1,technical,technical,True,PASS,False,,,,,False,
qwen,choice4,choice4-technical-2,technical,technical,True,PASS,False,,,,,False,
qwen,choice4,choice4-technical-3,technical,technical,True,PASS,False,,,,,False,
qwen,choice4,choice4-technical-4,technical,technical,True,PASS,False,,,,,False,
qwen,choice4,choice4-sales-0,sales,sales,True,PASS,False,,,,,False,
qwen,choice4,choice4-sales-1,sales,sales,True,PASS,False,,,,,False,
qwen,choice4,choice4-sales-2,sales,sales,True,PASS,False,,,,,False,
qwen,choice4,choice4-sales-3,sales,sales,True,PASS,False,,,,,False,
qwen,choice4,choice4-sales-4,sales,sales,True,PASS,False,,,,,False,
qwen,choice4,choice4-account-0,account,account,True,PASS,False,,,,,False,
qwen,choice4,choice4-account-1,account,account,True,PASS,False,,,,,False,
qwen,choice4,choice4-account-2,account,account,True,PASS,False,,,,,False,
qwen,choice4,choice4-account-3,account,account,True,PASS,False,,,,,False,
qwen,choice4,choice4-account-4,account,account,True,PASS,False,,,,,False,
qwen,choice8,choice8-refund-0,refund,refund,True,PASS,False,,,,,False,
qwen,choice8,choice8-refund-1,refund,refund,True,PASS,False,,,,,False,
qwen,choice8,choice8-repair-0,repair,repair,True,PASS,False,,,,,False,
qwen,choice8,choice8-repair-1,repair,repair,True,PASS,False,,,,,False,
qwen,choice8,choice8-quote-0,quote,quote,True,PASS,False,,,,,False,
qwen,choice8,choice8-quote-1,quote,quote,True,PASS,False,,,,,False,
qwen,choice8,choice8-password-0,password,password,True,PASS,False,,,,,False,
qwen,choice8,choice8-password-1,password,password,True,PASS,False,,,,,False,
qwen,choice8,choice8-cancel-0,cancel,cancel,True,PASS,False,,,,,False,
qwen,choice8,choice8-cancel-1,cancel,cancel,True,PASS,False,,,,,False,
qwen,choice8,choice8-shipping-0,shipping,shipping,True,PASS,False,,,,,False,
qwen,choice8,choice8-shipping-1,shipping,shipping,True,PASS,False,,,,,False,
qwen,choice8,choice8-address-0,address,address,True,PASS,False,,,,,False,
qwen,choice8,choice8-address-1,address,address,True,PASS,False,,,,,False,
qwen,choice8,choice8-privacy-0,privacy,privacy,True,PASS,False,,,,,False,
qwen,choice8,choice8-privacy-1,privacy,privacy,True,PASS,False,,,,,False,
qwen,noul,bool-00,True,True,True,PASS,False,0.002674130943999998,,0.948288,,False,
qwen,noul,bool-01,False,False,True,PASS,False,0.000788214328274025,,0.028075155,,False,
qwen,noul,bool-02,True,True,True,PASS,False,0.07759882135992249,,0.72143435,,False,
qwen,noul,bool-03,False,False,True,PASS,False,0.010021426264841477,,0.100107074,,False,
qwen,noul,bool-04,True,True,True,PASS,False,0.008057724704928904,,0.91023517,,False,
qwen,noul,bool-05,False,False,True,PASS,False,0.00614105755201,,0.0783649,,False,
qwen,noul,bool-06,True,True,True,PASS,False,0.008520115181980896,,0.90769553,,False,
qwen,noul,bool-07,False,True,False,PASS,False,0.64347317935684,,0.8021678,,False,
qwen,noul,bool-08,True,True,True,PASS,False,0.0012050111140929013,,0.96528673,,False,
qwen,noul,bool-09,False,False,True,PASS,False,0.0032314915913641,,0.05684621,,False,
qwen,noul,bool-10,True,True,True,PASS,False,0.0001331425207875998,,0.98846126,,False,
qwen,noul,bool-11,False,False,True,PASS,False,0.00031712928039937606,,0.017808124,,False,
qwen,noul,bool-12,True,True,True,PASS,False,1.0120924195600206e-05,,0.99681866,,False,
qwen,noul,bool-13,False,False,True,PASS,False,0.0428140903532356,,0.20691566,,False,
qwen,noul,bool-14,True,True,True,PASS,False,0.0001428765996100012,,0.9880469,,False,
qwen,noul,bool-15,False,False,True,PASS,False,0.0033083007679089,,0.05751783,,False,
qwen,noul,bool-16,True,False,False,PASS,False,0.8122714333815285,,0.098738976,,False,
qwen,noul,bool-17,False,False,True,PASS,False,0.0516566665978609,,0.22728103,,False,
qwen,noul,bool-18,True,True,True,PASS,False,4.416532848999969e-05,,0.9933543,,False,
qwen,noul,bool-19,False,False,True,PASS,False,0.000587213765460036,,0.024232494,,False,
qwen,score,score-checklist-0,0,0,True,PASS,False,,0.057751898,,0.057751898,False,
qwen,score,score-checklist-1,1,1,True,PASS,False,,0.004403399999999946,,0.9955966,False,
qwen,score,score-checklist-2,2,4,False,PASS,False,,0.5079850000000001,,2.507985,False,
qwen,score,score-checklist-3,3,4,False,PASS,False,,0.7598631,,3.7598631,False,
qwen,score,score-checklist-4,4,4,True,PASS,False,,0.5273905000000001,,3.4726095,False,
qwen,score,score-delay-0,0,0,True,PASS,False,,0.0013029343,,0.0013029343,False,
qwen,score,score-delay-1,1,1,True,PASS,False,,0.012204199999999998,,0.9877958,False,
qwen,score,score-delay-2,2,2,True,PASS,False,,0.023136899999999905,,1.9768631,False,
qwen,score,score-delay-3,3,3,True,PASS,False,,0.09239819999999987,,2.9076018,False,
qwen,score,score-delay-4,4,4,True,PASS,False,,0.2325501000000001,,3.7674499,False,
qwen,score,score-satisfaction-0,0,0,True,PASS,False,,0.0072553502,,0.0072553502,False,
qwen,score,score-satisfaction-1,1,1,True,PASS,False,,0.1441003999999999,,1.1441004,False,
qwen,score,score-satisfaction-2,2,2,True,PASS,False,,0.07374189999999992,,1.9262581,False,
qwen,score,score-satisfaction-3,3,3,True,PASS,False,,0.08436779999999988,,2.9156322,False,
qwen,score,score-satisfaction-4,4,4,True,PASS,False,,0.050769799999999865,,3.9492302,False,
qwen,score,score-impact-0,0,0,True,PASS,False,,0.023000263,,0.023000263,False,
qwen,score,score-impact-1,1,1,True,PASS,False,,0.5065333999999999,,1.5065334,False,
qwen,score,score-impact-2,2,2,True,PASS,False,,0.017942399999999914,,1.9820576,False,
qwen,score,score-impact-3,3,3,True,PASS,False,,0.42490799999999984,,2.575092,False,
qwen,score,score-impact-4,4,4,True,PASS,False,,0.7287724,,3.2712276,False,
semif,choice2,choice2-00,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-01,false,false,True,PASS,False,,,,,False,
semif,choice2,choice2-02,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-03,false,false,True,PASS,False,,,,,False,
semif,choice2,choice2-04,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-05,false,false,True,PASS,False,,,,,False,
semif,choice2,choice2-06,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-07,false,true,False,PASS,False,,,,,False,
semif,choice2,choice2-08,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-09,false,false,True,PASS,False,,,,,False,
semif,choice2,choice2-10,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-11,false,false,True,PASS,False,,,,,False,
semif,choice2,choice2-12,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-13,false,false,True,PASS,False,,,,,False,
semif,choice2,choice2-14,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-15,false,false,True,PASS,False,,,,,False,
semif,choice2,choice2-16,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-17,false,true,False,PASS,False,,,,,False,
semif,choice2,choice2-18,true,true,True,PASS,False,,,,,False,
semif,choice2,choice2-19,false,false,True,PASS,False,,,,,False,
semif,choice4,choice4-billing-0,billing,billing,True,PASS,False,,,,,False,
semif,choice4,choice4-billing-1,billing,billing,True,PASS,False,,,,,False,
semif,choice4,choice4-billing-2,billing,billing,True,PASS,False,,,,,False,
semif,choice4,choice4-billing-3,billing,billing,True,PASS,False,,,,,False,
semif,choice4,choice4-billing-4,billing,billing,True,PASS,False,,,,,False,
semif,choice4,choice4-technical-0,technical,technical,True,PASS,False,,,,,False,
semif,choice4,choice4-technical-1,technical,technical,True,PASS,False,,,,,False,
semif,choice4,choice4-technical-2,technical,technical,True,PASS,False,,,,,False,
semif,choice4,choice4-technical-3,technical,technical,True,PASS,False,,,,,False,
semif,choice4,choice4-technical-4,technical,technical,True,PASS,False,,,,,False,
semif,choice4,choice4-sales-0,sales,sales,True,PASS,False,,,,,False,
semif,choice4,choice4-sales-1,sales,sales,True,PASS,False,,,,,False,
semif,choice4,choice4-sales-2,sales,sales,True,PASS,False,,,,,False,
semif,choice4,choice4-sales-3,sales,sales,True,PASS,False,,,,,False,
semif,choice4,choice4-sales-4,sales,sales,True,PASS,False,,,,,False,
semif,choice4,choice4-account-0,account,account,True,PASS,False,,,,,False,
semif,choice4,choice4-account-1,account,account,True,PASS,False,,,,,False,
semif,choice4,choice4-account-2,account,account,True,PASS,False,,,,,False,
semif,choice4,choice4-account-3,account,account,True,PASS,False,,,,,False,
semif,choice4,choice4-account-4,account,account,True,PASS,False,,,,,False,
semif,choice8,choice8-refund-0,refund,refund,True,PASS,False,,,,,False,
semif,choice8,choice8-refund-1,refund,refund,True,PASS,False,,,,,False,
semif,choice8,choice8-repair-0,repair,repair,True,PASS,False,,,,,False,
semif,choice8,choice8-repair-1,repair,repair,True,PASS,False,,,,,False,
semif,choice8,choice8-quote-0,quote,quote,True,PASS,False,,,,,False,
semif,choice8,choice8-quote-1,quote,quote,True,PASS,False,,,,,False,
semif,choice8,choice8-password-0,password,password,True,PASS,False,,,,,False,
semif,choice8,choice8-password-1,password,password,True,PASS,False,,,,,False,
semif,choice8,choice8-cancel-0,cancel,cancel,True,PASS,False,,,,,False,
semif,choice8,choice8-cancel-1,cancel,cancel,True,PASS,False,,,,,False,
semif,choice8,choice8-shipping-0,shipping,shipping,True,PASS,False,,,,,False,
semif,choice8,choice8-shipping-1,shipping,shipping,True,PASS,False,,,,,False,
semif,choice8,choice8-address-0,address,address,True,PASS,False,,,,,False,
semif,choice8,choice8-address-1,address,address,True,PASS,False,,,,,False,
semif,choice8,choice8-privacy-0,privacy,privacy,True,PASS,False,,,,,False,
semif,choice8,choice8-privacy-1,privacy,privacy,True,PASS,False,,,,,False,
semif,noul,bool-00,True,True,True,PASS,False,5.036320753594999e-07,,0.9992903296008995,,False,
semif,noul,bool-01,False,False,True,PASS,False,7.845191875145492e-06,,0.002800926967120973,,False,
semif,noul,bool-02,True,True,True,PASS,False,0.0006737843926940188,,0.9740426428022031,,False,
semif,noul,bool-03,False,False,True,PASS,False,0.08656244984486824,,0.29421497216298875,,False,
semif,noul,bool-04,True,True,True,PASS,False,2.7249712256547957e-05,,0.9947798743064417,,False,
semif,noul,bool-05,False,False,True,PASS,False,3.4940735023255335e-05,,0.005911068856243796,,False,
semif,noul,bool-06,True,True,True,PASS,False,0.0002530132972896886,,0.9840936082881853,,False,
semif,noul,bool-07,False,True,False,PASS,False,0.9684402298736602,,0.9840936082881853,,False,
semif,noul,bool-08,True,True,True,PASS,False,1.0655009132398076e-06,,0.9989677689632452,,False,
semif,noul,bool-09,False,False,True,PASS,False,1.0065916418999901e-05,,0.0031726828424851893,,False,
semif,noul,bool-10,True,True,True,PASS,False,1.8537940027872056e-07,,0.9995694429186754,,False,
semif,noul,bool-11,False,False,True,PASS,False,0.0003235037488004415,,0.017986209962091555,,False,
semif,noul,bool-12,True,True,True,PASS,False,3.0556422143911427e-07,,0.9994472213630764,,False,
semif,noul,bool-13,False,False,True,PASS,False,4.764251080780302e-06,,0.0021827164453451808,,False,
semif,noul,bool-14,True,True,True,PASS,False,4.764251080780777e-06,,0.9978172835546547,,False,
semif,noul,bool-15,False,False,True,PASS,False,0.014209336618611037,,0.11920292202211755,,False,
semif,noul,bool-16,True,True,True,PASS,False,0.0022492134466546346,,0.9525741268224334,,False,
semif,noul,bool-17,False,True,False,PASS,False,0.9895869983251399,,0.9947798743064417,,False,
semif,noul,bool-18,True,True,True,PASS,False,6.822038278929323e-08,,0.9997388096809043,,False,
semif,noul,bool-19,False,False,True,PASS,False,8.300142788188425e-07,,0.0009110511944006454,,False,
semif,score,score-checklist-0,0,0,True,PASS,False,,0.8906254563344914,,0.8906254563344914,False,
semif,score,score-checklist-1,1,0,False,PASS,False,,0.17563521352496214,,0.8243647864750379,False,
semif,score,score-checklist-2,2,2,True,PASS,False,,0.37865531601969593,,2.378655316019696,False,
semif,score,score-checklist-3,3,4,False,PASS,False,,0.9309160638010985,,3.9309160638010985,False,
semif,score,score-checklist-4,4,4,True,PASS,False,,0.004050300853579714,,3.9959496991464203,False,
semif,score,score-delay-0,0,0,True,PASS,False,,0.00039957846319204477,,0.00039957846319204477,False,
semif,score,score-delay-1,1,1,True,PASS,False,,0.04793718691258331,,1.0479371869125833,False,
semif,score,score-delay-2,2,2,True,PASS,False,,0.13372965382464153,,1.8662703461753585,False,
semif,score,score-delay-3,3,2,False,PASS,False,,0.9099368191227186,,2.0900631808772814,False,
semif,score,score-delay-4,4,2,False,PASS,False,,1.87493741356887,,2.12506258643113,False,
semif,score,score-satisfaction-0,0,0,True,PASS,False,,0.00011476295953429376,,0.00011476295953429376,False,
semif,score,score-satisfaction-1,1,1,True,PASS,False,,6.121061759889468e-05,,0.9999387893824011,False,
semif,score,score-satisfaction-2,2,2,True,PASS,False,,0.0006090348133458434,,1.9993909651866542,False,
semif,score,score-satisfaction-3,3,3,True,PASS,False,,0.0001118688364365461,,3.0001118688364365,False,
semif,score,score-satisfaction-4,4,4,True,PASS,False,,0.004823324306216126,,3.995176675693784,False,
semif,score,score-impact-0,0,0,True,PASS,False,,0.0002064125987063359,,0.0002064125987063359,False,
semif,score,score-impact-1,1,1,True,PASS,False,,0.0730972235259808,,0.9269027764740192,False,
semif,score,score-impact-2,2,2,True,PASS,False,,0.03495770939663467,,1.9650422906033653,False,
semif,score,score-impact-3,3,2,False,PASS,False,,1.4680065529111077,,1.5319934470888923,False,
semif,score,score-impact-4,4,4,True,PASS,False,,0.002066412736885681,,3.9979335872631143,False,
laya,choice2,choice2-00,true,true,True,PASS,False,,,,,False,
laya,choice2,choice2-01,false,false,True,PASS,False,,,,,False,
laya,choice2,choice2-02,true,false,False,PASS,False,,,,,False,
laya,choice2,choice2-03,false,false,True,PASS,False,,,,,False,
laya,choice2,choice2-04,true,true,True,PASS,False,,,,,False,
laya,choice2,choice2-05,false,false,True,PASS,False,,,,,False,
laya,choice2,choice2-06,true,false,False,PASS,False,,,,,False,
laya,choice2,choice2-07,false,false,True,PASS,False,,,,,False,
laya,choice2,choice2-08,true,true,True,PASS,False,,,,,False,
laya,choice2,choice2-09,false,false,True,PASS,False,,,,,False,
laya,choice2,choice2-10,true,false,False,PASS,False,,,,,False,
laya,choice2,choice2-11,false,false,True,PASS,False,,,,,False,
laya,choice2,choice2-12,true,true,True,PASS,False,,,,,False,
laya,choice2,choice2-13,false,false,True,PASS,False,,,,,False,
laya,choice2,choice2-14,true,true,True,PASS,False,,,,,False,
laya,choice2,choice2-15,false,true,False,PASS,False,,,,,False,
laya,choice2,choice2-16,true,false,False,PASS,False,,,,,False,
laya,choice2,choice2-17,false,false,True,PASS,False,,,,,False,
laya,choice2,choice2-18,true,true,True,PASS,False,,,,,False,
laya,choice2,choice2-19,false,true,False,PASS,False,,,,,False,
laya,choice4,choice4-billing-0,billing,billing,True,PASS,False,,,,,False,
laya,choice4,choice4-billing-1,billing,billing,True,PASS,False,,,,,False,
laya,choice4,choice4-billing-2,billing,billing,True,PASS,False,,,,,False,
laya,choice4,choice4-billing-3,billing,billing,True,PASS,False,,,,,False,
laya,choice4,choice4-billing-4,billing,billing,True,PASS,False,,,,,False,
laya,choice4,choice4-technical-0,technical,technical,True,PASS,False,,,,,False,
laya,choice4,choice4-technical-1,technical,technical,True,PASS,False,,,,,False,
laya,choice4,choice4-technical-2,technical,technical,True,PASS,False,,,,,False,
laya,choice4,choice4-technical-3,technical,billing,False,PASS,False,,,,,False,
laya,choice4,choice4-technical-4,technical,technical,True,PASS,False,,,,,False,
laya,choice4,choice4-sales-0,sales,sales,True,PASS,False,,,,,False,
laya,choice4,choice4-sales-1,sales,billing,False,PASS,False,,,,,False,
laya,choice4,choice4-sales-2,sales,billing,False,PASS,False,,,,,False,
laya,choice4,choice4-sales-3,sales,sales,True,PASS,False,,,,,False,
laya,choice4,choice4-sales-4,sales,sales,True,PASS,False,,,,,False,
laya,choice4,choice4-account-0,account,account,True,PASS,False,,,,,False,
laya,choice4,choice4-account-1,account,account,True,PASS,False,,,,,False,
laya,choice4,choice4-account-2,account,account,True,PASS,False,,,,,False,
laya,choice4,choice4-account-3,account,account,True,PASS,False,,,,,False,
laya,choice4,choice4-account-4,account,account,True,PASS,False,,,,,False,
laya,choice8,choice8-refund-0,refund,refund,True,PASS,False,,,,,False,
laya,choice8,choice8-refund-1,refund,refund,True,PASS,False,,,,,False,
laya,choice8,choice8-repair-0,repair,repair,True,PASS,False,,,,,False,
laya,choice8,choice8-repair-1,repair,repair,True,PASS,False,,,,,False,
laya,choice8,choice8-quote-0,quote,quote,True,PASS,False,,,,,False,
laya,choice8,choice8-quote-1,quote,quote,True,PASS,False,,,,,False,
laya,choice8,choice8-password-0,password,password,True,PASS,False,,,,,False,
laya,choice8,choice8-password-1,password,password,True,PASS,False,,,,,False,
laya,choice8,choice8-cancel-0,cancel,cancel,True,PASS,False,,,,,False,
laya,choice8,choice8-cancel-1,cancel,cancel,True,PASS,False,,,,,False,
laya,choice8,choice8-shipping-0,shipping,shipping,True,PASS,False,,,,,False,
laya,choice8,choice8-shipping-1,shipping,shipping,True,PASS,False,,,,,False,
laya,choice8,choice8-address-0,address,address,True,PASS,False,,,,,False,
laya,choice8,choice8-address-1,address,address,True,PASS,False,,,,,False,
laya,choice8,choice8-privacy-0,privacy,privacy,True,PASS,False,,,,,False,
laya,choice8,choice8-privacy-1,privacy,privacy,True,PASS,False,,,,,False,
laya,noul,bool-00,True,True,True,PASS,False,0.00035344000000000147,,0.9812,,False,
laya,noul,bool-01,False,True,False,PASS,False,0.33350625,,0.5775,,False,
laya,noul,bool-02,True,False,False,PASS,False,0.39200121,,0.3739,,False,
laya,noul,bool-03,False,False,True,PASS,False,0.138384,,0.372,,False,
laya,noul,bool-04,True,True,True,PASS,False,0.0039187599999999986,,0.9374,,False,
laya,noul,bool-05,False,False,True,PASS,False,0.11309768999999999,,0.3363,,False,
laya,noul,bool-06,True,False,False,PASS,False,0.86378436,,0.0706,,False,
laya,noul,bool-07,False,False,True,PASS,False,0.00361201,,0.0601,,False,
